paper_id,class_id
0,2
1,0
2,0
3,0
4,5
5,0
6,0
7,0
8,9
9,9
10,2
11,4	8
12,4
13,1
14,0
15,0
16,0
17,0
18,0
19,6
20,4
21,0
22,2
23,4
24,5
25,4
26,0
27,0
28,8
29,8
30,8
31,1	4
32,8
33,8
34,8
35,1	4
36,4
37,1
38,0
39,4
40,4
41,4
42,0
43,2
44,2
45,3
46,1	4
47,4	8
48,4	8
49,7
50,4
51,4
52,4
53,7
54,5
55,0
56,0
57,4
58,9
59,4
60,1
61,4
62,3
63,3
64,0
65,0
66,1
67,0
68,5
69,0
70,1	4
71,7
72,1
73,5
74,2
75,1
76,1
77,1
78,0
79,0
80,4
81,7
82,0
83,0
84,3
85,7
86,7
87,4
88,2
89,2
90,1
91,6
92,0
93,7
94,5
95,7
96,0
97,7
98,2
99,7
100,7
101,2
102,7
103,0
104,0
105,0
106,0
107,4
108,0
109,0
110,7
111,0
112,0
113,0
114,0
115,3
116,0
117,0
118,0
119,1
120,7
121,0
122,7
123,0
124,7
125,9
126,1
127,1
128,8
129,8
130,0
131,0
132,1
133,0
134,7
135,0
136,0
137,0
138,0
139,2
140,6
141,6
142,1
143,8
144,7
145,8
146,8
147,7
148,4
149,0
150,0
151,0
152,2
153,7
154,7
155,7
156,7
157,2
158,2
159,4
160,4
161,0
162,0
163,0
164,4
165,4
166,0
167,1
168,0
169,7
170,0
171,0
172,0
173,1	4
174,0
175,0
176,0
177,8
178,1
179,2
180,8
181,1	4
182,0
183,0
184,3
185,9
186,0
187,0
188,0
189,0
190,0
191,1
192,8
193,2
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,6
206,6
207,7
208,1
209,0
210,0
211,5
212,0
213,1
214,1
215,8
216,0
217,1
218,6
219,1
220,0
221,0
222,1
223,4
224,0
225,0
226,2
227,2
228,2
229,8
230,7
231,8
232,7
233,4
234,3
235,0
236,0
237,4
238,0
239,0
240,6
241,0
242,0
243,1
244,4
245,3
246,4
247,1
248,6
249,6
250,2
251,7
252,7
253,0
254,4
255,4	8
256,0
257,0
258,1
259,7
260,4
261,3
262,3
263,2
264,2
265,5
266,5
267,0
268,0
269,2
270,3
271,3
272,2
273,7
274,4
275,7
276,5
277,2
278,4
279,7
280,4
281,0
282,0
283,1
284,0
285,4	8
286,4
287,0
288,4	8
289,4	8
290,9
291,0
292,0
293,4
294,0
295,0
296,1
297,1
298,1
299,4
300,0
301,1
302,1
303,2
304,1
305,0
306,1
307,1
308,6
309,0
310,6
311,0
312,0
313,7
314,7
315,2
316,8
317,5
318,0
319,0
320,0
321,0
322,0
323,9
324,9
325,2
326,2
327,0
328,9
329,5
330,3
331,0
332,7
333,7
334,1
335,0
336,1
337,2
338,4
339,1
340,3
341,3
342,4	8
343,4
344,1
345,0
346,0
347,0
348,7
349,1
350,1
351,0
352,0
353,0
354,0
355,8
356,6
357,6
358,6
359,6
360,0
361,0
362,0
363,7
364,3
365,0
366,0
367,0
368,4	8
369,4	8
370,0
371,3
372,8
373,5
374,0
375,3
376,3
377,0
378,3
379,4
380,4
381,1	4
382,0
383,4
384,4
385,0
386,0
387,9
388,1
389,5
390,6
391,8
392,6
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,9
402,9
403,0
404,0
405,4	8
406,4	8
407,4
408,4	8
409,0
410,0
411,1
412,0
413,4	8
414,4	8
415,0
416,1	4
417,3
418,8
419,2
420,0
421,4
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,0
433,2
434,0
435,0
436,0
437,1	4
438,0
439,0
440,4
441,4
442,0
443,0
444,0
445,5
446,5
447,7
448,4	8
449,0
450,1
451,8
452,0
453,1
454,4
455,9
456,9
457,7
458,7
459,4
460,3
461,0
462,1
463,3
464,0
465,1
466,2
467,6
468,3
469,0
470,4	8
471,1	4
472,0
473,0
474,0
475,0
476,0
477,4
478,1
479,2
480,2
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,5
492,0
493,0
494,4
495,7
496,4
497,1
498,0
499,0
500,0
501,1
502,0
503,9
504,7
505,2
506,0
507,4
508,5
509,0
510,7
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,7
520,1
521,0
522,0
523,0
524,0
525,6
526,2
527,0
528,5
529,4
530,0
531,0
532,2
533,1
534,1
535,0
536,2
537,5
538,7
539,7
540,8
541,2
542,7
543,1
544,8
545,2
546,1
547,8
548,1
549,7
550,0
551,0
552,3
553,3
554,0
555,0
556,3
557,0
558,0
559,2
560,0
561,2
562,4
563,1	4
564,4
565,4
566,0
567,0
568,9
569,2
570,9
571,9
572,9
573,7
574,0
575,7
576,0
577,0
578,4
579,0
580,0
581,5
582,0
583,4	8
584,0
585,9
586,7
587,8
588,8
589,8
590,0
591,0
592,0
593,1	4
594,4
595,4
596,5
597,5
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,1
606,1
607,1
608,1
609,8
610,0
611,0
612,0
613,0
614,2
615,9
616,2
617,0
618,1	4
619,5
620,5
621,5
622,5
623,5
624,0
625,6
626,0
627,7
628,0
629,0
630,7
631,7
632,0
633,0
634,2
635,2
636,6
637,4
638,1	4
639,2
640,1	4
641,1	4
642,1	4
643,0
644,1	4
645,1
646,1
647,7
648,7
649,0
650,1
651,5
652,0
653,0
654,8
655,2
656,0
657,2
658,0
659,0
660,3
661,4	8
662,0
663,1
664,4
665,0
666,4
667,4
668,4
669,9
670,1	4
671,3
672,3
673,0
674,0
675,0
676,9
677,3
678,3
679,6
680,1
681,1
682,8
683,4
684,2
685,9
686,0
687,0
688,4
689,2
690,2
691,4
692,0
693,0
694,0
695,4
696,4
697,0
698,4
699,1
700,0
701,0
702,2
703,0
704,0
705,4
706,7
707,0
708,1
709,0
710,5
711,5
712,7
713,0
714,0
715,4	8
716,4	8
717,4	8
718,6
719,0
720,4	8
721,9
722,7
723,0
724,4
725,4	8
726,5
727,9
728,0
729,0
730,8
731,0
732,4
733,0
734,4
735,0
736,1
737,0
738,0
739,9
740,7
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,7
749,1	4
750,7
751,4
752,7
753,0
754,7
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,4
763,1
764,7
765,0
766,0
767,0
768,1
769,9
770,0
771,2
772,9
773,7
774,1
775,4
776,1
777,3
778,3
779,1
780,0
781,0
782,4
783,0
784,8
785,8
786,5
787,3
788,7
789,0
790,0
791,7
792,7
793,0
794,0
795,0
796,0
797,1
798,4
799,5
800,5
801,5
802,8
803,9
804,3
805,8
806,0
807,7
808,5
809,4
810,7
811,0
812,0
813,2
814,5
815,9
816,0
817,8
818,7
819,8
820,0
821,0
822,7
823,7
824,7
825,0
826,7
827,0
828,0
829,1
830,0
831,8
832,0
833,0
834,0
835,7
836,1
837,0
838,4
839,4
840,3
841,0
842,0
843,0
844,1
845,0
846,0
847,4
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,3
856,5
857,0
858,5
859,0
860,0
861,0
862,0
863,1
864,5
865,0
866,8
867,0
868,5
869,0
870,9
871,1
872,0
873,4
874,4
875,4
876,0
877,0
878,9
879,9
880,4
881,4
882,0
883,4
884,4
885,3
886,3
887,0
888,0
889,0
890,4
891,8
892,8
893,4
894,0
895,8
896,6
897,0
898,0
899,4
900,5
901,0
902,0
903,0
904,3
905,9
906,9
907,2
908,2
909,8
910,4
911,0
912,4
913,0
914,7
915,2
916,2
917,5
918,1	4
919,5
920,0
921,0
922,4	8
923,0
924,4	8
925,0
926,5
927,2
928,6
929,0
930,6
931,0
932,2
933,2
934,2
935,2
936,4
937,0
938,8
939,8
940,0
941,5
942,0
943,8
944,0
945,7
946,7
947,3
948,0
949,4
950,4
951,0
952,0
953,7
954,7
955,2
956,2
957,0
958,0
959,8
960,4
961,4
962,4
963,0
964,6
965,1
966,7
967,0
968,7
969,7
970,0
971,4
972,0
973,4	8
974,0
975,0
976,0
977,1	4
978,8
979,4
980,7
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,0
990,0
991,4
992,5
993,5
994,4
995,7
996,4
997,7
998,1	4
999,2
1000,2
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,1
1010,9
1011,3
1012,5
1013,5
1014,5
1015,5
1016,0
1017,5
1018,0
1019,7
1020,7
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,4
1028,8
1029,1	4
1030,4
1031,4
1032,6
1033,4
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,8
1041,8
1042,7
1043,6
1044,7
1045,7
1046,0
1047,0
1048,7
1049,4
1050,7
1051,7
1052,0
1053,0
1054,4
1055,1
1056,0
1057,0
1058,7
1059,4
1060,6
1061,1
1062,0
1063,8
1064,0
1065,6
1066,7
1067,7
1068,2
1069,3
1070,0
1071,7
1072,4
1073,8
1074,8
1075,8
1076,7
1077,3
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,3
1085,0
1086,0
1087,4
1088,8
1089,8
1090,8
1091,8
1092,9
1093,2
1094,5
1095,4
1096,4
1097,1
1098,1
1099,0
1100,0
1101,4
1102,0
1103,0
1104,4
1105,0
1106,0
1107,0
1108,0
1109,0
1110,5
1111,9
1112,3
1113,7
1114,0
1115,0
1116,0
1117,0
1118,0
1119,5
1120,5
1121,0
1122,1
1123,1
1124,1
1125,0
1126,5
1127,5
1128,5
1129,5
1130,5
1131,5
1132,5
1133,4
1134,6
1135,0
1136,0
1137,2
