paper_id,class_id,is_train
0,2,1
1,0,0
2,0,1
3,0,0
4,5,0
5,0,0
6,0,0
7,0,0
8,9,0
9,9,0
10,2,0
11,4	8,0
12,4,1
13,1,0
14,0,1
15,0,0
16,0,0
17,0,0
18,0,0
19,6,0
20,4,1
21,0,0
22,2,1
23,4,0
24,5,1
25,4,0
26,0,0
27,0,1
28,8,0
29,8,0
30,8,0
31,1	4,1
32,8,1
33,8,0
34,8,1
35,1	4,0
36,4,0
37,1,0
38,0,0
39,4,1
40,4,0
41,4,0
42,0,0
43,2,0
44,2,0
45,3,0
46,1	4,0
47,4	8,0
48,4	8,0
49,7,0
50,4,1
51,4,0
52,4,0
53,7,0
54,5,0
55,0,0
56,0,0
57,4,1
58,9,0
59,4,0
60,1,0
61,4,0
62,3,0
63,3,0
64,0,0
65,0,1
66,1,0
67,0,0
68,5,0
69,0,0
70,1	4,0
71,7,0
72,1,0
73,5,1
74,2,0
75,1,1
76,1,1
77,1,0
78,0,0
79,0,0
80,4,0
81,7,0
82,0,1
83,0,0
84,3,0
85,7,0
86,7,0
87,4,0
88,2,0
89,2,0
90,1,0
91,6,0
92,0,1
93,7,0
94,5,0
95,7,0
96,0,1
97,7,0
98,2,1
99,7,0
100,7,0
101,2,0
102,7,0
103,0,0
104,0,0
105,0,1
106,0,0
107,4,1
108,0,0
109,0,0
110,7,0
111,0,0
112,0,0
113,0,0
114,0,1
115,3,0
116,0,1
117,0,1
118,0,0
119,1,0
120,7,0
121,0,0
122,7,0
123,0,1
124,7,0
125,9,0
126,1,0
127,1,1
128,8,0
129,8,0
130,0,0
131,0,0
132,1,0
133,0,1
134,7,0
135,0,0
136,0,0
137,0,0
138,0,1
139,2,0
140,6,0
141,6,1
142,1,0
143,8,0
144,7,0
145,8,0
146,8,0
147,7,0
148,4,0
149,0,0
150,0,0
151,0,0
152,2,0
153,7,0
154,7,1
155,7,0
156,7,0
157,2,1
158,2,0
159,4,0
160,4,1
161,0,0
162,0,1
163,0,0
164,4,1
165,4,0
166,0,0
167,1,0
168,0,0
169,7,0
170,0,0
171,0,0
172,0,0
173,1	4,0
174,0,0
175,0,1
176,0,1
177,8,0
178,1,0
179,2,1
180,8,0
181,1	4,0
182,0,1
183,0,1
184,3,0
185,9,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,1
191,1,0
192,8,1
193,2,0
194,1,1
195,0,1
196,0,0
197,0,0
198,0,0
199,0,0
200,0,1
201,0,0
202,0,0
203,0,0
204,0,0
205,6,0
206,6,1
207,7,0
208,1,0
209,0,0
210,0,1
211,5,0
212,0,0
213,1,0
214,1,0
215,8,0
216,0,0
217,1,0
218,6,0
219,1,0
220,0,0
221,0,0
222,1,0
223,4,0
224,0,0
225,0,0
226,2,0
227,2,0
228,2,0
229,8,1
230,7,0
231,8,0
232,7,0
233,4,0
234,3,0
235,0,0
236,0,0
237,4,0
238,0,1
239,0,0
240,6,0
241,0,0
242,0,0
243,1,0
244,4,0
245,3,0
246,4,0
247,1,0
248,6,0
249,6,1
250,2,0
251,7,0
252,7,0
253,0,0
254,4,0
255,4	8,0
256,0,0
257,0,0
258,1,0
259,7,0
260,4,0
261,3,1
262,3,1
263,2,0
264,2,0
265,5,0
266,5,1
267,0,0
268,0,0
269,2,1
270,3,0
271,3,0
272,2,1
273,7,0
274,4,0
275,7,0
276,5,0
277,2,0
278,4,0
279,7,0
280,4,0
281,0,1
282,0,0
283,1,1
284,0,0
285,4	8,1
286,4,0
287,0,0
288,4	8,0
289,4	8,0
290,9,0
291,0,0
292,0,0
293,4,0
294,0,0
295,0,0
296,1,0
297,1,1
298,1,0
299,4,0
300,0,0
301,1,0
302,1,0
303,2,0
304,1,0
305,0,0
306,1,0
307,1,0
308,6,0
309,0,0
310,6,0
311,0,1
312,0,0
313,7,0
314,7,1
315,2,1
316,8,0
317,5,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,9,0
324,9,1
325,2,0
326,2,0
327,0,0
328,9,0
329,5,0
330,3,0
331,0,0
332,7,0
333,7,0
334,1,1
335,0,0
336,1,1
337,2,0
338,4,0
339,1,0
340,3,0
341,3,0
342,4	8,0
343,4,0
344,1,0
345,0,0
346,0,0
347,0,0
348,7,0
349,1,0
350,1,0
351,0,0
352,0,0
353,0,0
354,0,0
355,8,0
356,6,0
357,6,0
358,6,0
359,6,0
360,0,0
361,0,0
362,0,1
363,7,0
364,3,0
365,0,0
366,0,0
367,0,1
368,4	8,0
369,4	8,0
370,0,0
371,3,1
372,8,0
373,5,0
374,0,0
375,3,0
376,3,0
377,0,1
378,3,1
379,4,1
380,4,0
381,1	4,0
382,0,0
383,4,1
384,4,1
385,0,0
386,0,0
387,9,0
388,1,1
389,5,0
390,6,1
391,8,0
392,6,0
393,0,1
394,0,0
395,1,0
396,0,0
397,0,1
398,0,0
399,0,1
400,0,0
401,9,0
402,9,0
403,0,0
404,0,0
405,4	8,1
406,4	8,0
407,4,0
408,4	8,0
409,0,1
410,0,0
411,1,0
412,0,0
413,4	8,0
414,4	8,0
415,0,0
416,1	4,0
417,3,1
418,8,0
419,2,0
420,0,0
421,4,0
422,0,1
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,1,0
430,0,1
431,0,0
432,0,0
433,2,0
434,0,0
435,0,0
436,0,0
437,1	4,0
438,0,1
439,0,1
440,4,0
441,4,0
442,0,0
443,0,1
444,0,1
445,5,0
446,5,0
447,7,0
448,4	8,1
449,0,0
450,1,1
451,8,1
452,0,0
453,1,0
454,4,0
455,9,0
456,9,0
457,7,0
458,7,0
459,4,0
460,3,0
461,0,0
462,1,0
463,3,0
464,0,0
465,1,0
466,2,0
467,6,1
468,3,0
469,0,0
470,4	8,0
471,1	4,0
472,0,1
473,0,1
474,0,1
475,0,0
476,0,0
477,4,0
478,1,0
479,2,0
480,2,0
481,0,1
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,5,0
492,0,1
493,0,0
494,4,0
495,7,1
496,4,0
497,1,0
498,0,0
499,0,0
500,0,0
501,1,0
502,0,1
503,9,1
504,7,0
505,2,1
506,0,1
507,4,0
508,5,0
509,0,0
510,7,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,7,0
520,1,0
521,0,0
522,0,0
523,0,0
524,0,0
525,6,0
526,2,0
527,0,0
528,5,0
529,4,1
530,0,0
531,0,0
532,2,0
533,1,0
534,1,0
535,0,0
536,2,0
537,5,0
538,7,0
539,7,0
540,8,0
541,2,0
542,7,0
543,1,1
544,8,1
545,2,1
546,1,0
547,8,1
548,1,0
549,7,0
550,0,0
551,0,0
552,3,0
553,3,0
554,0,0
555,0,1
556,3,1
557,0,0
558,0,0
559,2,1
560,0,0
561,2,0
562,4,1
563,1	4,0
564,4,0
565,4,0
566,0,0
567,0,0
568,9,0
569,2,1
570,9,0
571,9,0
572,9,0
573,7,0
574,0,0
575,7,0
576,0,0
577,0,0
578,4,0
579,0,0
580,0,0
581,5,0
582,0,0
583,4	8,1
584,0,1
585,9,0
586,7,1
587,8,0
588,8,0
589,8,0
590,0,1
591,0,0
592,0,1
593,1	4,0
594,4,0
595,4,0
596,5,0
597,5,0
598,0,0
599,0,0
600,0,0
601,0,1
602,0,0
603,0,0
604,0,0
605,1,0
606,1,0
607,1,0
608,1,0
609,8,0
610,0,0
611,0,0
612,0,0
613,0,0
614,2,0
615,9,0
616,2,0
617,0,0
618,1	4,0
619,5,0
620,5,0
621,5,0
622,5,0
623,5,0
624,0,0
625,6,1
626,0,0
627,7,0
628,0,0
629,0,1
630,7,0
631,7,0
632,0,1
633,0,1
634,2,0
635,2,0
636,6,0
637,4,0
638,1	4,0
639,2,0
640,1	4,0
641,1	4,0
642,1	4,0
643,0,0
644,1	4,0
645,1,0
646,1,0
647,7,1
648,7,0
649,0,0
650,1,0
651,5,0
652,0,0
653,0,0
654,8,0
655,2,0
656,0,1
657,2,1
658,0,0
659,0,0
660,3,0
661,4	8,0
662,0,1
663,1,0
664,4,0
665,0,0
666,4,1
667,4,0
668,4,0
669,9,0
670,1	4,0
671,3,0
672,3,0
673,0,0
674,0,0
675,0,0
676,9,0
677,3,0
678,3,1
679,6,0
680,1,0
681,1,1
682,8,0
683,4,0
684,2,0
685,9,0
686,0,0
687,0,0
688,4,1
689,2,0
690,2,0
691,4,0
692,0,0
693,0,0
694,0,0
695,4,0
696,4,0
697,0,0
698,4,1
699,1,1
700,0,0
701,0,1
702,2,0
703,0,0
704,0,1
705,4,0
706,7,0
707,0,0
708,1,0
709,0,0
710,5,1
711,5,0
712,7,0
713,0,0
714,0,0
715,4	8,0
716,4	8,1
717,4	8,0
718,6,0
719,0,0
720,4	8,0
721,9,1
722,7,0
723,0,0
724,4,0
725,4	8,0
726,5,1
727,9,0
728,0,0
729,0,0
730,8,0
731,0,0
732,4,1
733,0,1
734,4,0
735,0,0
736,1,0
737,0,1
738,0,0
739,9,0
740,7,1
741,0,0
742,1,0
743,0,0
744,0,0
745,1,0
746,0,0
747,0,1
748,7,0
749,1	4,1
750,7,1
751,4,0
752,7,0
753,0,0
754,7,1
755,0,0
756,0,0
757,0,0
758,0,0
759,0,1
760,0,0
761,1,1
762,4,0
763,1,1
764,7,1
765,0,0
766,0,0
767,0,0
768,1,0
769,9,0
770,0,0
771,2,0
772,9,0
773,7,0
774,1,0
775,4,0
776,1,0
777,3,0
778,3,0
779,1,0
780,0,0
781,0,0
782,4,0
783,0,0
784,8,0
785,8,1
786,5,0
787,3,1
788,7,0
789,0,1
790,0,0
791,7,0
792,7,0
793,0,0
794,0,0
795,0,0
796,0,1
797,1,1
798,4,0
799,5,1
800,5,0
801,5,0
802,8,0
803,9,0
804,3,1
805,8,0
806,0,0
807,7,0
808,5,0
809,4,0
810,7,1
811,0,0
812,0,0
813,2,0
814,5,1
815,9,0
816,0,0
817,8,0
818,7,0
819,8,0
820,0,1
821,0,0
822,7,0
823,7,0
824,7,0
825,0,0
826,7,0
827,0,0
828,0,0
829,1,0
830,0,0
831,8,0
832,0,0
833,0,0
834,0,1
835,7,0
836,1,0
837,0,0
838,4,1
839,4,0
840,3,1
841,0,0
842,0,0
843,0,1
844,1,0
845,0,0
846,0,1
847,4,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,3,0
856,5,0
857,0,0
858,5,0
859,0,0
860,0,0
861,0,0
862,0,0
863,1,0
864,5,0
865,0,1
866,8,0
867,0,0
868,5,0
869,0,0
870,9,0
871,1,1
872,0,0
873,4,0
874,4,0
875,4,0
876,0,0
877,0,0
878,9,0
879,9,1
880,4,0
881,4,0
882,0,0
883,4,0
884,4,0
885,3,0
886,3,0
887,0,0
888,0,0
889,0,0
890,4,0
891,8,1
892,8,0
893,4,0
894,0,0
895,8,0
896,6,0
897,0,1
898,0,0
899,4,1
900,5,0
901,0,0
902,0,0
903,0,0
904,3,0
905,9,0
906,9,0
907,2,0
908,2,0
909,8,0
910,4,0
911,0,1
912,4,0
913,0,0
914,7,0
915,2,0
916,2,0
917,5,0
918,1	4,0
919,5,0
920,0,0
921,0,0
922,4	8,0
923,0,0
924,4	8,0
925,0,0
926,5,0
927,2,0
928,6,0
929,0,0
930,6,0
931,0,1
932,2,1
933,2,0
934,2,0
935,2,0
936,4,0
937,0,0
938,8,0
939,8,0
940,0,0
941,5,0
942,0,0
943,8,0
944,0,0
945,7,0
946,7,1
947,3,0
948,0,0
949,4,0
950,4,0
951,0,1
952,0,0
953,7,0
954,7,1
955,2,0
956,2,0
957,0,0
958,0,0
959,8,0
960,4,0
961,4,0
962,4,0
963,0,0
964,6,0
965,1,1
966,7,0
967,0,0
968,7,0
969,7,0
970,0,0
971,4,0
972,0,0
973,4	8,0
974,0,0
975,0,1
976,0,0
977,1	4,0
978,8,0
979,4,0
980,7,0
981,0,0
982,0,1
983,0,0
984,0,0
985,1,0
986,0,0
987,0,0
988,0,0
989,0,1
990,0,0
991,4,0
992,5,0
993,5,0
994,4,0
995,7,0
996,4,0
997,7,0
998,1	4,1
999,2,0
1000,2,0
1001,2,0
1002,2,0
1003,2,0
1004,2,0
1005,2,0
1006,2,0
1007,2,0
1008,2,0
1009,1,0
1010,9,0
1011,3,1
1012,5,0
1013,5,0
1014,5,0
1015,5,0
1016,0,0
1017,5,1
1018,0,0
1019,7,0
1020,7,0
1021,0,0
1022,0,0
1023,0,1
1024,0,0
1025,0,0
1026,0,0
1027,4,0
1028,8,0
1029,1	4,0
1030,4,0
1031,4,0
1032,6,0
1033,4,0
1034,0,1
1035,0,1
1036,0,1
1037,1,0
1038,0,1
1039,0,0
1040,8,0
1041,8,0
1042,7,1
1043,6,0
1044,7,1
1045,7,1
1046,0,0
1047,0,1
1048,7,0
1049,4,0
1050,7,0
1051,7,0
1052,0,0
1053,0,1
1054,4,0
1055,1,0
1056,0,1
1057,0,0
1058,7,1
1059,4,1
1060,6,0
1061,1,0
1062,0,0
1063,8,0
1064,0,0
1065,6,0
1066,7,0
1067,7,0
1068,2,0
1069,3,0
1070,0,1
1071,7,0
1072,4,1
1073,8,0
1074,8,0
1075,8,0
1076,7,0
1077,3,0
1078,0,0
1079,0,1
1080,0,1
1081,0,0
1082,0,0
1083,0,0
1084,3,0
1085,0,0
1086,0,0
1087,4,1
1088,8,0
1089,8,1
1090,8,0
1091,8,1
1092,9,0
1093,2,1
1094,5,1
1095,4,0
1096,4,0
1097,1,1
1098,1,0
1099,0,0
1100,0,0
1101,4,0
1102,0,0
1103,0,0
1104,4,0
1105,0,0
1106,0,0
1107,0,1
1108,0,1
1109,0,0
1110,5,1
1111,9,0
1112,3,1
1113,7,0
1114,0,0
1115,0,0
1116,0,0
1117,0,0
1118,0,0
1119,5,0
1120,5,0
1121,0,1
1122,1,0
1123,1,1
1124,1,0
1125,0,0
1126,5,0
