node_id,feature_id,value
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,12,1
1,13,1
1,33,1
1,34,1
1,35,1
2,36,1
2,37,1
2,1,1
2,38,1
2,29,1
2,39,1
2,40,1
2,32,1
2,41,1
2,42,1
2,43,1
2,44,1
3,0,1
3,45,1
3,46,1
3,47,1
3,48,1
3,49,1
3,50,1
3,51,1
3,52,1
3,53,1
3,13,1
3,54,1
3,55,1
3,56,1
3,57,1
3,58,1
3,59,1
3,60,1
3,61,1
3,62,1
4,45,1
4,63,1
4,64,1
4,65,1
4,38,1
4,29,1
4,66,1
4,67,1
4,68,1
4,50,1
4,69,1
4,53,1
4,70,1
4,11,1
4,71,1
4,13,1
4,72,1
4,73,1
4,60,1
4,74,1
5,75,1
5,23,1
5,26,1
5,47,1
5,63,1
5,38,1
5,76,1
5,77,1
5,78,1
5,79,1
5,80,1
5,81,1
5,82,1
5,83,1
5,84,1
5,85,1
5,86,1
5,87,1
5,72,1
5,56,1
5,88,1
5,89,1
6,90,1
6,91,1
6,92,1
6,93,1
6,94,1
6,38,1
6,79,1
6,95,1
6,82,1
6,96,1
6,97,1
6,98,1
6,99,1
6,100,1
6,101,1
6,102,1
6,103,1
6,104,1
6,105,1
7,0,1
7,106,1
7,22,1
7,107,1
7,26,1
7,28,1
7,108,1
7,109,1
7,79,1
7,110,1
7,111,1
7,112,1
7,113,1
7,81,1
7,86,1
7,114,1
7,115,1
7,13,1
7,116,1
7,34,1
7,117,1
8,118,1
8,119,1
8,48,1
8,120,1
8,111,1
8,121,1
8,122,1
8,123,1
8,124,1
8,125,1
8,126,1
8,127,1
8,13,1
8,128,1
8,129,1
8,130,1
