paper_id,class_id,is_train
0,0,1
1,0,1
2,1,1
3,1,1
4,1,1
5,1,1
6,2,1
7,1,1
8,3,0
9,1,1
10,4,0
11,5,1
12,5,1
13,0,1
14,6,0
15,6,0
16,4,1
17,4,1
18,4,1
19,4,0
20,0,1
21,0,0
22,0,1
23,1,1
24,3,1
25,6,1
26,1,0
27,2,1
28,6,0
29,6,1
30,4,1
31,0,0
32,0,1
33,5,1
34,3,0
35,0,1
36,5,1
37,4,1
38,4,1
39,4,1
40,4,1
41,4,1
42,4,0
43,4,1
44,5,1
45,2,1
46,2,0
47,3,1
48,2,1
49,2,1
50,6,1
51,6,1
52,6,1
53,6,1
54,6,1
55,6,1
56,6,0
57,4,1
58,4,1
59,4,0
60,4,1
61,4,1
62,4,1
63,5,1
64,5,1
65,5,0
66,2,1
67,3,1
68,6,1
69,4,1
70,2,1
71,6,0
72,2,1
73,2,1
74,5,0
75,5,0
76,2,1
77,5,1
78,2,1
79,2,0
80,4,1
81,4,1
82,4,1
83,5,1
84,5,1
85,5,1
86,3,1
87,1,1
88,2,1
89,3,1
90,2,1
91,2,1
92,4,1
93,0,1
94,2,1
95,2,1
96,4,1
97,4,1
98,4,1
99,4,1
100,5,1
101,6,0
102,6,1
103,6,1
104,6,1
105,4,1
106,6,1
107,4,1
108,0,1
109,2,1
110,6,1
111,1,0
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,2,1
129,2,1
130,4,1
131,4,0
132,4,1
133,4,1
134,4,1
135,1,0
136,1,1
137,2,0
138,3,1
139,2,1
140,4,1
141,2,1
142,6,1
143,2,1
144,6,1
145,5,1
146,5,1
147,5,1
148,6,1
149,6,0
150,5,1
151,3,1
152,3,1
153,6,1
154,3,1
155,3,1
156,3,1
157,6,1
158,5,0
159,6,1
160,1,0
161,6,1
162,6,1
163,6,0
164,6,0
165,1,1
166,1,0
167,1,1
168,6,1
169,6,0
170,4,1
171,2,1
172,1,1
173,2,0
174,6,1
175,3,1
176,3,1
177,6,0
178,6,1
179,3,1
180,2,1
181,2,1
182,3,1
183,3,1
184,4,1
185,4,1
186,0,1
187,1,1
188,0,1
189,0,1
190,1,1
191,2,1
192,2,1
193,3,1
194,5,1
195,0,1
196,4,0
197,2,1
198,2,1
199,2,1
200,2,0
201,4,1
202,2,1
203,4,1
204,4,0
205,6,1
206,2,1
207,4,1
208,4,1
209,6,1
210,5,1
211,3,1
212,3,1
213,2,0
214,3,1
215,2,1
216,2,1
217,2,1
218,2,1
219,2,1
220,2,1
221,2,1
222,2,1
223,2,1
224,2,1
225,2,1
226,2,1
227,2,0
228,2,1
229,2,1
230,2,0
231,2,1
232,6,0
233,6,1
234,6,1
235,6,0
236,2,1
237,6,1
238,6,1
239,0,1
240,0,0
241,6,1
242,6,1
243,5,0
244,2,0
245,3,1
246,6,1
247,1,1
248,1,1
249,1,0
250,1,0
251,6,1
252,1,1
253,5,1
254,6,1
255,6,0
256,6,1
257,6,1
258,6,1
259,3,1
260,6,1
261,1,1
262,1,1
263,1,1
264,1,1
265,2,0
266,0,1
267,6,1
268,5,1
269,5,0
270,5,0
271,5,1
272,5,1
273,4,0
274,4,1
275,6,1
276,2,1
277,2,1
278,6,1
279,2,1
280,2,1
281,0,1
282,4,1
283,4,1
284,5,1
285,5,1
286,5,0
287,6,1
288,6,0
289,6,1
290,6,1
291,6,1
292,6,1
293,6,1
294,6,0
295,5,1
296,5,1
297,1,1
298,1,1
299,5,1
300,6,1
301,1,1
302,0,1
303,1,0
304,4,1
305,0,1
306,1,1
307,4,1
308,1,1
309,6,1
310,6,1
311,0,1
312,3,0
313,2,1
314,5,1
315,5,1
316,5,1
317,5,1
318,2,0
319,5,1
320,5,1
321,5,1
322,4,0
323,1,0
324,1,1
325,1,1
326,0,1
327,2,1
328,6,1
329,6,1
330,4,1
331,4,0
332,4,1
333,4,1
334,1,1
335,4,1
336,1,1
337,6,1
338,6,1
339,6,0
340,2,1
341,2,0
342,3,1
343,4,1
344,2,1
345,3,1
346,5,1
347,5,1
348,5,0
349,2,1
350,1,1
351,0,0
352,0,1
353,4,1
354,3,0
355,6,1
356,4,1
357,4,1
358,6,1
359,4,0
360,4,0
361,4,1
362,4,1
363,2,1
364,4,1
365,5,1
366,5,1
367,2,1
368,1,1
369,6,0
370,6,0
371,6,0
372,2,0
373,3,0
374,2,1
375,1,1
376,6,1
377,5,1
378,1,1
379,2,1
380,6,1
381,6,1
382,6,1
383,3,1
384,6,1
385,6,0
386,6,0
387,6,1
388,2,1
389,6,1
390,6,0
391,2,1
392,2,0
393,3,1
394,2,1
395,2,0
396,6,1
397,2,1
398,2,1
399,2,1
400,6,1
401,6,1
402,6,1
403,5,1
404,6,0
405,2,1
406,2,1
407,6,1
408,2,0
409,4,1
410,1,0
411,2,1
412,4,1
413,1,1
414,1,1
415,5,1
416,1,1
